path,person_id,face_count,face_size,detection_score,blur_score,brightness,quality_category
..\face-id-project\images_dataset\ST001\1_0001.jpg,ST001,1,929,0.7905102968215942,24.87868677048306,110.38134293608,bad
..\face-id-project\images_dataset\ST001\1_0002.jpg,ST001,1,879,0.8525215983390808,50.25808041096445,116.10356353161885,bad
..\face-id-project\images_dataset\ST001\1_0003.jpg,ST001,1,934,0.8260645866394043,43.874757690066424,100.46440926409866,bad
..\face-id-project\images_dataset\ST001\1_0004.jpg,ST001,1,909,0.8369803428649902,27.02713961228796,102.41958581823094,bad
..\face-id-project\images_dataset\ST001\1_0005.jpg,ST001,1,925,0.8409956693649292,42.752549808587354,118.09264630147389,bad
..\face-id-project\images_dataset\ST001\1_0006.jpg,ST001,1,875,0.8410202264785767,32.17187740033301,119.59547970002586,bad
..\face-id-project\images_dataset\ST001\1_0007.jpg,ST001,1,920,0.812764585018158,28.522299202509203,98.51923774753844,bad
..\face-id-project\images_dataset\ST001\1_0008.jpg,ST001,1,950,0.8254494667053223,41.26737874510853,112.20639840881273,bad
..\face-id-project\images_dataset\ST001\1_0009.jpg,ST001,1,898,0.7754402160644531,50.529682100953906,115.13890983031978,bad
..\face-id-project\images_dataset\ST001\1_0010.jpg,ST001,1,883,0.801959753036499,39.769151162113424,118.91685700206617,bad
..\face-id-project\images_dataset\ST001\1_0011.jpg,ST001,1,897,0.7866501808166504,40.90712959180885,118.97073051938476,bad
..\face-id-project\images_dataset\ST001\1_0012.jpg,ST001,1,877,0.8680251836776733,55.356325987047796,112.63305903202318,bad
..\face-id-project\images_dataset\ST001\1_0013.jpg,ST001,1,929,0.8204361200332642,68.77185908938162,112.34061874518332,bad
..\face-id-project\images_dataset\ST001\1_0014.jpg,ST001,1,914,0.846821665763855,51.88183137815612,111.83148627525138,bad
..\face-id-project\images_dataset\ST001\1_0015.jpg,ST001,1,870,0.822015106678009,35.047752724516904,114.14657896451054,bad
..\face-id-project\images_dataset\ST001\1_0016.jpg,ST001,1,892,0.8429298400878906,48.905013438012055,111.92104597654433,bad
..\face-id-project\images_dataset\ST001\1_0017.jpg,ST001,1,896,0.8532332181930542,32.31577114879627,112.58076113315697,bad
..\face-id-project\images_dataset\ST001\1_0018.jpg,ST001,1,912,0.8384087085723877,49.328420476630725,112.7380340721807,bad
..\face-id-project\images_dataset\ST001\1_0019.jpg,ST001,1,921,0.8493876457214355,61.153138536319574,116.05932518364942,bad
..\face-id-project\images_dataset\ST001\1_0020.jpg,ST001,1,875,0.8413293361663818,29.085800307214825,118.67097809380162,bad
..\face-id-project\images_dataset\ST001\1_0021.jpg,ST001,1,875,0.8273365497589111,41.264868341833754,116.61969025086375,bad
..\face-id-project\images_dataset\ST001\1_0022.jpg,ST001,1,903,0.7780996561050415,41.98377229513238,117.03956856876331,bad
..\face-id-project\images_dataset\ST001\1_0023.jpg,ST001,1,899,0.8003517389297485,60.75648254211498,117.83326284028162,bad
..\face-id-project\images_dataset\ST001\1_0024.jpg,ST001,1,914,0.7856889963150024,34.70615315291895,116.70901324838155,bad
..\face-id-project\images_dataset\ST001\1_0025.jpg,ST001,1,953,0.8099648356437683,43.22253022363479,106.61353331572032,bad
..\face-id-project\images_dataset\ST001\1_0026.jpg,ST001,1,874,0.8488531112670898,25.25633587509433,99.10380282257361,bad
..\face-id-project\images_dataset\ST001\1_0027.jpg,ST001,1,913,0.8151718974113464,19.91893828107077,102.86222581024201,bad
..\face-id-project\images_dataset\ST001\1_0028.jpg,ST001,1,895,0.7844562530517578,42.297238941893085,104.92726310594065,bad
..\face-id-project\images_dataset\ST001\1_0029.jpg,ST001,1,834,0.8426889181137085,40.02941544572826,113.29767737809752,bad
..\face-id-project\images_dataset\ST001\1_0030.jpg,ST001,1,873,0.8233028650283813,17.738525429434542,108.95645017057758,bad
..\face-id-project\images_dataset\ST001\1_0031.jpg,ST001,1,855,0.8282362222671509,46.406030130334756,108.48761112182164,bad
..\face-id-project\images_dataset\ST001\1_0032.jpg,ST001,1,861,0.7854241132736206,36.512402091079515,109.83510582740261,bad
..\face-id-project\images_dataset\ST001\1_0033.jpg,ST001,1,832,0.8588156700134277,37.21506316662525,117.4618245385468,bad
..\face-id-project\images_dataset\ST001\1_0034.jpg,ST001,1,810,0.8048501014709473,27.430153637037993,116.48842949109726,bad
..\face-id-project\images_dataset\ST001\1_0035.jpg,ST001,1,820,0.850287914276123,30.039355329345344,116.6345931958089,bad
..\face-id-project\images_dataset\ST001\1_0036.jpg,ST001,1,835,0.8047070503234863,66.27059646365697,108.84408637862937,bad
..\face-id-project\images_dataset\ST001\1_0037.jpg,ST001,1,829,0.832610011100769,43.51240387189662,110.67906273073793,bad
..\face-id-project\images_dataset\ST001\1_0038.jpg,ST001,1,848,0.8332482576370239,34.92930476602472,113.84576500637539,bad
..\face-id-project\images_dataset\ST001\1_0039.jpg,ST001,1,833,0.8321684002876282,47.509866162137605,115.35827087768223,bad
..\face-id-project\images_dataset\ST001\1_0040.jpg,ST001,1,855,0.807674765586853,77.56220073597163,115.14965084800964,bad
..\face-id-project\images_dataset\ST001\1_0041.jpg,ST001,1,846,0.8484137058258057,42.81918019063739,112.2434597452062,bad
..\face-id-project\images_dataset\ST001\1_0042.jpg,ST001,1,801,0.8111354112625122,32.729869938053056,110.66987512428803,bad
..\face-id-project\images_dataset\ST001\1_0043.jpg,ST001,1,825,0.7960816621780396,24.469792363714593,108.7369978858351,bad
..\face-id-project\images_dataset\ST001\1_0044.jpg,ST001,1,817,0.8321553468704224,57.85912047385989,113.67907550489596,bad
..\face-id-project\images_dataset\ST001\1_0045.jpg,ST001,1,807,0.8647971153259277,61.0401963846218,111.91133187687291,bad
..\face-id-project\images_dataset\ST001\1_0046.jpg,ST001,1,801,0.8379024267196655,57.21325060708115,112.09234111971755,bad
..\face-id-project\images_dataset\ST001\1_0047.jpg,ST001,1,790,0.8727953433990479,34.3889840911712,110.83286578687495,bad
..\face-id-project\images_dataset\ST001\1_0048.jpg,ST001,1,992,0.7180519104003906,43.717908968916916,103.83639791111769,bad
..\face-id-project\images_dataset\ST001\1_0049.jpg,ST001,1,922,0.7420927286148071,55.26391941861158,98.64766933225447,bad
..\face-id-project\images_dataset\ST001\1_0050.jpg,ST001,1,901,0.8325178623199463,43.35507312114746,112.13134489133441,bad
..\face-id-project\images_dataset\ST001\1_0051.jpg,ST001,1,744,0.8697643280029297,115.57839242372194,116.39528181977559,bad
..\face-id-project\images_dataset\ST001\1_0052.jpg,ST001,1,875,0.8271493911743164,77.46404512965832,115.57717923854625,bad
..\face-id-project\images_dataset\ST001\1_0053.jpg,ST001,1,798,0.8111265301704407,41.90300343734063,112.79836636715515,bad
..\face-id-project\images_dataset\ST001\1_0054.jpg,ST001,1,880,0.8278694152832031,73.47883710139314,112.13962087467098,bad
..\face-id-project\images_dataset\ST001\1_0055.jpg,ST001,1,876,0.8107007145881653,40.0908229965105,114.21541140657176,bad
..\face-id-project\images_dataset\ST001\1_0056.jpg,ST001,1,909,0.837171196937561,35.00716725594433,112.58078344227218,bad
..\face-id-project\images_dataset\ST001\1_0057.jpg,ST001,1,978,0.7538655400276184,33.097546921426634,115.01240478336035,bad
